age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,avg_watch_hours_per_month,engagement_score,high_value_customer,recent_login,favorite_genre_Comedy,favorite_genre_Documentary,favorite_genre_Drama,favorite_genre_Horror,favorite_genre_Romance,favorite_genre_Sci-Fi
62,0,2,14.8,40,5,2,13.99,1,1,5,0.36,10.829268292682928,1.7999999999999998,0,0,False,False,True,False,False,False
63,2,1,3.39,57,5,2,17.99,1,4,4,0.06,1.753448275862069,0.24,1,0,False,False,False,False,False,True
62,0,1,13.15,11,4,0,17.99,0,2,1,1.1,32.875,1.1,1,1,True,False,False,False,False,False
41,1,0,15.26,21,5,0,8.99,0,2,5,0.69,20.80909090909091,3.4499999999999997,0,1,False,False,True,False,False,False
27,2,1,79.17,12,5,4,17.99,0,2,2,6.09,182.7,12.18,1,1,False,False,True,False,False,False
60,0,0,9.13,43,3,1,8.99,1,2,1,0.21,6.2250000000000005,0.21,0,0,False,True,False,False,False,False
60,1,1,3.29,20,1,2,17.99,1,2,2,0.16,4.7,0.32,1,1,False,False,True,False,False,False
58,0,2,9.52,51,2,1,13.99,1,4,1,0.18,5.4923076923076914,0.18,0,0,False,False,False,False,False,True
18,1,2,3.56,23,4,4,13.99,0,2,4,0.15,4.45,0.6,0,1,False,False,False,True,False,False
48,2,1,11.1,41,0,2,17.99,1,3,5,0.26,7.928571428571429,1.3,1,0,False,True,False,False,False,False
26,2,2,23.13,27,4,2,13.99,0,2,2,0.83,24.782142857142855,1.66,0,1,False,True,False,False,False,False
21,1,1,9.91,27,1,0,17.99,0,2,2,0.35,10.617857142857142,0.7,1,1,False,False,False,False,False,True
46,2,0,6.22,36,1,1,8.99,1,0,2,0.17,5.043243243243243,0.34,0,0,False,False,False,True,False,False
62,0,1,0.45,20,2,4,17.99,0,2,5,0.02,0.6428571428571429,0.1,1,1,False,False,False,False,False,True
35,0,2,17.53,38,4,1,13.99,1,0,1,0.45,13.484615384615385,0.45,0,0,False,False,False,False,False,False
61,0,2,4.52,21,2,4,13.99,1,1,2,0.21,6.163636363636363,0.42,0,1,False,False,True,False,False,False
37,1,0,9.69,24,1,2,8.99,0,0,4,0.39,11.627999999999998,1.56,0,1,False,False,False,True,False,False
46,0,2,5.78,4,1,1,13.99,0,0,2,1.16,34.68000000000001,2.32,0,1,False,False,False,False,False,True
41,0,1,18.87,9,2,3,17.99,0,3,3,1.89,56.61000000000001,5.67,1,1,False,True,False,False,False,False
21,0,1,4.89,3,4,0,17.99,0,2,4,1.22,36.675,4.88,1,1,False,False,False,False,False,True
55,0,1,1.66,54,4,3,17.99,1,4,4,0.03,0.9054545454545454,0.12,1,0,False,False,True,False,False,False
64,0,1,4.42,17,5,1,17.99,1,1,3,0.25,7.366666666666667,0.75,1,1,False,False,False,True,False,False
36,2,1,13.38,22,3,2,17.99,0,3,4,0.58,17.452173913043477,2.32,1,1,False,True,False,False,False,False
67,0,1,9.87,6,2,3,17.99,0,4,3,1.41,42.3,4.2299999999999995,1,1,False,False,False,False,False,False
23,0,1,23.6,56,5,3,17.99,0,4,4,0.41,12.421052631578949,1.64,1,0,False,False,False,False,False,True
19,1,0,3.89,33,3,2,8.99,1,0,1,0.11,3.432352941176471,0.11,0,0,False,False,False,False,True,False
20,2,1,3.4,33,0,4,17.99,1,1,5,0.1,3.0,0.5,1,0,False,False,True,False,False,False
50,0,2,3.58,54,2,4,13.99,1,0,4,0.07,1.9527272727272729,0.28,0,0,False,False,False,False,True,False
33,2,1,31.11,39,5,2,17.99,0,1,4,0.78,23.3325,3.12,1,0,True,False,False,False,False,False
31,2,1,2.81,39,2,0,17.99,1,0,5,0.07,2.1075000000000004,0.35000000000000003,1,0,False,False,False,True,False,False
20,1,2,9.87,29,0,0,13.99,0,4,3,0.33,9.87,0.99,0,1,False,True,False,False,False,False
18,0,0,35.52,40,5,4,8.99,0,1,3,0.87,25.990243902439026,2.61,0,0,False,False,False,False,False,False
31,1,1,4.6,1,5,0,17.99,0,3,1,2.3,69.0,2.3,1,1,False,False,False,False,False,True
47,2,1,14.24,37,0,4,17.99,1,3,2,0.37,11.242105263157896,0.74,1,0,False,True,False,False,False,False
49,0,0,2.9,46,1,2,8.99,1,2,2,0.06,1.851063829787234,0.12,0,0,False,False,False,True,False,False
30,0,0,24.74,17,4,1,8.99,0,0,5,1.37,41.233333333333334,6.8500000000000005,0,1,True,False,False,False,False,False
22,2,0,2.93,27,1,3,8.99,1,3,2,0.1,3.1392857142857142,0.2,0,1,False,False,False,False,False,True
61,2,2,5.98,1,3,4,13.99,0,3,5,2.99,89.7,14.950000000000001,0,1,False,False,False,False,True,False
59,2,1,24.59,49,3,0,17.99,0,1,3,0.49,14.754,1.47,1,0,False,False,False,False,True,False
42,1,1,18.17,2,5,1,17.99,0,1,4,6.06,181.70000000000002,24.24,1,1,False,False,False,False,False,True
21,0,0,13.97,14,3,1,8.99,0,0,3,0.93,27.94,2.79,0,1,False,False,False,False,True,False
35,1,0,4.58,42,5,4,8.99,1,0,4,0.11,3.1953488372093024,0.44,0,0,False,False,False,False,True,False
32,2,0,17.18,22,0,3,8.99,0,1,4,0.75,22.40869565217391,3.0,0,1,False,False,False,False,True,False
65,0,1,4.89,6,1,3,17.99,0,3,1,0.7,20.957142857142856,0.7,1,1,False,True,False,False,False,False
59,2,2,6.77,22,4,4,13.99,0,2,1,0.29,8.830434782608695,0.29,0,1,False,False,False,False,False,True
70,2,0,1.28,52,1,2,8.99,1,0,5,0.02,0.7245283018867925,0.1,0,0,False,False,False,False,False,False
63,1,1,8.54,51,3,4,17.99,0,0,5,0.16,4.926923076923076,0.8,1,0,False,True,False,False,False,False
29,2,0,17.58,2,2,0,8.99,0,4,1,5.86,175.79999999999998,5.86,0,1,False,False,False,False,False,False
30,2,0,9.28,44,3,4,8.99,1,4,4,0.21,6.1866666666666665,0.84,0,0,False,False,False,False,False,False
52,2,0,6.18,41,5,4,8.99,1,3,3,0.15,4.414285714285715,0.44999999999999996,0,0,True,False,False,False,False,False
49,2,2,5.88,40,3,2,13.99,1,1,2,0.14,4.302439024390244,0.28,0,0,False,False,False,False,False,False
33,1,2,2.86,30,2,4,13.99,1,3,5,0.09,2.7677419354838704,0.44999999999999996,0,1,False,False,True,False,False,False
22,0,0,3.71,28,2,3,8.99,1,1,1,0.13,3.8379310344827586,0.13,0,1,False,False,False,True,False,False
29,1,0,1.7,43,5,2,8.99,1,2,5,0.04,1.1590909090909092,0.2,0,0,False,False,False,True,False,False
67,0,2,1.02,20,2,1,13.99,1,3,1,0.05,1.4571428571428573,0.05,0,1,False,False,False,False,False,True
53,0,1,1.36,35,5,2,17.99,1,3,2,0.04,1.1333333333333335,0.08,1,0,False,False,False,False,True,False
40,1,1,12.26,3,3,2,17.99,0,2,5,3.06,91.95,15.3,1,1,False,False,False,False,True,False
56,2,1,1.43,16,2,1,17.99,1,2,2,0.08,2.523529411764706,0.16,1,1,False,False,False,False,False,False
35,0,0,26.9,49,5,0,8.99,0,3,2,0.54,16.139999999999997,1.08,0,0,False,False,True,False,False,False
54,1,0,3.13,16,4,3,8.99,1,0,5,0.18,5.523529411764706,0.8999999999999999,0,1,False,False,True,False,False,False
19,2,0,3.72,11,1,0,8.99,1,1,5,0.31,9.3,1.55,0,1,False,True,False,False,False,False
28,1,1,16.17,46,0,1,17.99,1,1,4,0.34,10.321276595744681,1.36,1,0,False,False,False,True,False,False
19,2,0,5.18,43,2,4,8.99,1,4,4,0.12,3.5318181818181817,0.48,0,0,False,False,False,True,False,False
34,1,0,1.89,59,1,4,8.99,1,0,5,0.03,0.945,0.15,0,0,False,False,False,False,False,False
19,1,1,8.03,1,1,3,17.99,0,3,3,4.01,120.44999999999999,12.03,1,1,False,False,True,False,False,False
45,2,0,3.4,27,3,1,8.99,1,1,3,0.12,3.642857142857143,0.36,0,1,False,False,False,False,False,True
50,2,0,0.11,1,5,4,8.99,1,3,2,0.06,1.6500000000000001,0.12,0,1,False,False,False,False,False,True
47,0,2,40.12,55,0,0,13.99,0,4,1,0.72,21.49285714285714,0.72,0,0,False,False,False,False,False,False
40,0,2,32.88,36,5,0,13.99,0,1,4,0.89,26.65945945945946,3.56,0,0,False,False,False,False,False,True
41,0,2,6.26,16,4,4,13.99,0,1,4,0.37,11.047058823529412,1.48,0,1,False,False,False,False,False,False
48,2,1,16.78,2,2,2,17.99,0,4,1,5.59,167.8,5.59,1,1,False,False,True,False,False,False
67,2,2,3.29,25,3,4,13.99,1,1,1,0.13,3.796153846153846,0.13,0,1,False,True,False,False,False,False
59,0,0,20.11,40,5,0,8.99,1,4,2,0.49,14.714634146341462,0.98,0,0,False,False,False,False,False,True
60,0,2,19.36,45,5,0,13.99,1,2,2,0.42,12.626086956521737,0.84,0,0,False,False,True,False,False,False
33,1,0,2.27,20,5,0,8.99,1,2,3,0.11,3.242857142857143,0.33,0,1,False,False,False,False,True,False
24,0,0,2.42,56,2,4,8.99,1,1,3,0.04,1.2736842105263158,0.12,0,0,True,False,False,False,False,False
23,2,0,10.85,13,3,2,8.99,0,4,3,0.78,23.25,2.34,0,1,False,False,False,False,True,False
34,1,1,9.59,28,2,2,17.99,0,4,4,0.33,9.920689655172414,1.32,1,1,False,False,False,False,False,False
30,1,1,7.24,40,1,3,17.99,0,2,5,0.18,5.297560975609756,0.8999999999999999,1,0,False,True,False,False,False,False
69,1,2,7.85,43,2,3,13.99,1,3,5,0.18,5.3522727272727275,0.8999999999999999,0,0,False,False,False,False,False,False
70,0,0,6.8,6,3,2,8.99,0,2,4,0.97,29.142857142857142,3.88,0,1,False,False,False,False,False,False
42,1,1,0.88,33,4,1,17.99,1,0,1,0.03,0.7764705882352941,0.03,1,0,True,False,False,False,False,False
34,1,1,12.48,53,1,4,17.99,1,3,2,0.23,6.933333333333334,0.46,1,0,True,False,False,False,False,False
51,0,1,2.04,6,5,3,17.99,0,2,2,0.29,8.742857142857142,0.58,1,1,False,False,True,False,False,False
27,2,1,4.57,24,0,1,17.99,1,3,4,0.18,5.484,0.72,1,1,False,True,False,False,False,False
19,1,2,19.23,20,4,1,13.99,0,2,3,0.92,27.471428571428575,2.7600000000000002,0,1,False,False,False,False,True,False
18,2,2,16.81,56,4,4,13.99,1,0,2,0.29,8.84736842105263,0.58,0,0,False,False,True,False,False,False
23,2,1,8.17,38,2,0,17.99,1,4,3,0.21,6.2846153846153845,0.63,1,0,False,True,False,False,False,False
23,1,0,7.09,32,2,3,8.99,1,0,2,0.21,6.445454545454544,0.42,0,0,False,False,False,False,True,False
50,0,1,7.92,58,1,0,17.99,1,3,4,0.13,4.027118644067797,0.52,1,0,False,False,True,False,False,False
54,2,2,10.1,40,4,3,13.99,0,4,5,0.25,7.390243902439024,1.25,0,0,False,False,False,True,False,False
68,0,0,9.07,32,0,3,8.99,1,1,3,0.27,8.245454545454544,0.81,0,0,False,False,False,False,True,False
70,2,0,2.24,50,2,1,8.99,1,4,5,0.04,1.3176470588235296,0.2,0,0,False,True,False,False,False,False
28,1,0,11.25,52,2,1,8.99,1,4,5,0.21,6.367924528301887,1.05,0,0,False,False,False,False,False,False
37,1,2,31.31,53,5,2,13.99,0,3,1,0.58,17.394444444444442,0.58,0,0,False,False,False,False,False,True
51,0,1,8.32,48,2,3,17.99,1,0,2,0.17,5.093877551020409,0.34,1,0,False,False,False,True,False,False
18,0,1,6.8,20,5,1,17.99,0,0,4,0.32,9.714285714285715,1.28,1,1,False,False,True,False,False,False
25,0,0,18.4,55,1,3,8.99,1,2,4,0.33,9.857142857142856,1.32,0,0,False,False,True,False,False,False
33,2,0,44.72,7,4,4,8.99,0,4,4,5.59,167.7,22.36,0,1,False,False,False,True,False,False
30,0,1,3.61,43,0,4,17.99,1,4,4,0.08,2.4613636363636364,0.32,1,0,True,False,False,False,False,False
22,1,1,10.68,60,0,4,17.99,0,2,5,0.18,5.252459016393443,0.8999999999999999,1,0,False,False,False,False,False,False
40,2,0,8.13,4,4,4,8.99,0,3,4,1.63,48.78000000000001,6.52,0,1,False,False,False,False,True,False
44,1,1,38.18,49,4,3,17.99,0,3,3,0.76,22.907999999999998,2.2800000000000002,1,0,False,True,False,False,False,False
68,1,0,1.83,0,0,2,8.99,0,2,5,1.83,54.900000000000006,9.15,0,1,False,False,False,True,False,False
24,0,0,47.9,21,4,1,8.99,0,2,4,2.18,65.31818181818183,8.72,0,1,False,False,False,False,True,False
34,0,2,3.85,55,5,0,13.99,1,3,3,0.07,2.0625,0.21000000000000002,0,0,False,False,False,False,True,False
62,0,0,1.55,17,5,4,8.99,1,2,2,0.09,2.5833333333333335,0.18,0,1,False,False,False,False,False,False
29,0,2,7.46,58,1,4,13.99,0,0,5,0.13,3.793220338983051,0.65,0,0,False,False,True,False,False,False
62,0,0,6.67,47,3,3,8.99,1,3,2,0.14,4.168749999999999,0.28,0,0,False,True,False,False,False,False
20,0,1,4.57,17,5,1,17.99,1,3,1,0.25,7.616666666666667,0.25,1,1,True,False,False,False,False,False
60,0,2,1.03,2,1,4,13.99,0,4,5,0.34,10.299999999999999,1.7000000000000002,0,1,False,True,False,False,False,False
25,2,2,6.71,2,0,4,13.99,0,0,4,2.24,67.1,8.96,0,1,False,False,False,False,False,True
57,1,2,12.95,27,3,3,13.99,0,3,4,0.46,13.874999999999998,1.84,0,1,False,False,False,True,False,False
47,1,2,3.92,58,0,4,13.99,1,4,5,0.07,1.993220338983051,0.35000000000000003,0,0,False,False,False,True,False,False
54,1,0,24.44,28,3,1,8.99,0,3,4,0.84,25.282758620689656,3.36,0,1,False,False,True,False,False,False
34,0,2,28.76,11,3,2,13.99,0,4,2,2.4,71.9,4.8,0,1,False,True,False,False,False,False
52,1,2,1.35,7,1,3,13.99,1,1,1,0.17,5.0625,0.17,0,1,False,False,False,False,False,False
53,2,1,0.25,50,1,4,17.99,1,4,1,0.0,0.14705882352941177,0.0,1,0,False,False,False,False,True,False
68,0,1,10.27,55,3,4,17.99,0,4,4,0.18,5.501785714285714,0.72,1,0,False,False,False,True,False,False
68,1,1,52.22,4,3,1,17.99,0,3,1,10.44,313.32,10.44,1,1,False,False,False,False,True,False
55,2,2,7.61,37,3,2,13.99,1,4,1,0.2,6.007894736842106,0.2,0,0,True,False,False,False,False,False
31,1,0,11.05,51,3,3,8.99,1,4,1,0.21,6.375,0.21,0,0,False,False,False,True,False,False
30,2,2,17.22,5,5,1,13.99,0,4,1,2.87,86.1,2.87,0,1,False,False,False,True,False,False
56,0,1,2.39,21,5,4,17.99,1,2,2,0.11,3.2590909090909097,0.22,1,1,True,False,False,False,False,False
44,2,0,14.91,47,2,0,8.99,1,2,5,0.31,9.31875,1.55,0,0,False,False,False,True,False,False
64,1,2,13.86,7,0,1,13.99,0,0,3,1.73,51.975,5.1899999999999995,0,1,True,False,False,False,False,False
42,2,0,2.6,50,5,1,8.99,1,0,4,0.05,1.5294117647058825,0.2,0,0,False,False,False,False,True,False
18,2,1,17.75,9,4,0,17.99,0,3,1,1.77,53.25,1.77,1,1,True,False,False,False,False,False
56,1,0,8.71,2,1,1,8.99,0,2,3,2.9,87.10000000000001,8.7,0,1,False,False,True,False,False,False
23,1,1,10.39,2,3,3,17.99,0,4,4,3.46,103.9,13.84,1,1,False,False,False,False,True,False
23,0,0,18.25,30,5,2,8.99,0,1,5,0.59,17.661290322580644,2.9499999999999997,0,1,False,True,False,False,False,False
65,2,1,20.05,21,1,4,17.99,0,1,5,0.91,27.340909090909093,4.55,1,1,False,True,False,False,False,False
47,2,0,0.39,48,5,4,8.99,1,4,5,0.01,0.23877551020408164,0.05,0,0,False,False,False,False,True,False
36,0,1,50.98,23,1,2,17.99,0,3,4,2.12,63.724999999999994,8.48,1,1,True,False,False,False,False,False
54,2,1,0.56,30,3,4,17.99,1,2,2,0.02,0.5419354838709678,0.04,1,1,False,False,False,True,False,False
56,2,2,1.95,28,3,2,13.99,1,1,4,0.07,2.0172413793103448,0.28,0,1,False,False,False,False,True,False
34,1,1,70.61,38,4,3,17.99,0,0,5,1.81,54.315384615384616,9.05,1,0,True,False,False,False,False,False
70,2,2,8.7,46,1,2,13.99,1,0,3,0.19,5.553191489361701,0.5700000000000001,0,0,False,False,False,False,False,False
51,1,0,2.17,14,0,4,8.99,1,2,3,0.14,4.34,0.42000000000000004,0,1,False,False,False,True,False,False
57,0,0,15.75,1,2,0,8.99,0,1,3,7.88,236.25,23.64,0,1,False,False,False,True,False,False
36,0,0,3.58,14,3,4,8.99,1,4,2,0.24,7.16,0.48,0,1,False,False,False,False,True,False
67,2,2,14.58,18,2,0,13.99,0,0,2,0.77,23.02105263157895,1.54,0,1,False,False,False,False,False,True
66,2,2,1.42,57,2,1,13.99,1,3,3,0.02,0.7344827586206896,0.06,0,0,False,False,True,False,False,False
42,0,0,2.98,29,1,3,8.99,1,1,4,0.1,2.98,0.4,0,1,True,False,False,False,False,False
34,0,2,0.68,42,0,0,13.99,1,1,2,0.02,0.4744186046511628,0.04,0,0,True,False,False,False,False,False
49,2,2,2.26,31,2,1,13.99,1,4,5,0.07,2.11875,0.35000000000000003,0,0,True,False,False,False,False,False
66,0,0,6.93,47,5,4,8.99,1,4,3,0.14,4.33125,0.42000000000000004,0,0,False,False,False,False,False,True
24,0,1,11.67,31,4,2,17.99,1,1,3,0.36,10.940625,1.08,1,0,False,False,False,False,False,True
49,2,1,5.31,39,2,3,17.99,1,0,1,0.13,3.9825,0.13,1,0,True,False,False,False,False,False
65,2,2,1.83,37,0,0,13.99,1,0,1,0.05,1.4447368421052633,0.05,0,0,True,False,False,False,False,False
52,0,2,2.62,43,5,2,13.99,1,3,5,0.06,1.7863636363636366,0.3,0,0,False,True,False,False,False,False
61,2,1,0.85,6,2,3,17.99,1,1,1,0.12,3.642857142857143,0.12,1,1,False,False,False,True,False,False
50,0,2,5.02,47,0,2,13.99,1,1,3,0.1,3.1374999999999997,0.30000000000000004,0,0,False,False,False,True,False,False
56,2,1,19.81,25,1,4,17.99,0,0,4,0.76,22.857692307692304,3.04,1,1,False,False,False,False,False,True
36,2,1,18.47,28,1,4,17.99,0,0,2,0.64,19.106896551724137,1.28,1,1,False,False,False,True,False,False
40,0,2,22.52,8,0,1,13.99,0,4,5,2.5,75.06666666666666,12.5,0,1,True,False,False,False,False,False
23,0,1,11.54,28,2,1,17.99,0,3,5,0.4,11.937931034482757,2.0,1,1,False,False,False,False,False,True
49,0,0,38.43,6,4,4,8.99,0,4,3,5.49,164.7,16.47,0,1,False,False,True,False,False,False
68,0,2,2.7,35,1,3,13.99,1,2,1,0.08,2.2500000000000004,0.08,0,0,False,True,False,False,False,False
52,2,2,1.79,38,0,2,13.99,1,0,1,0.05,1.376923076923077,0.05,0,0,False,False,True,False,False,False
37,1,2,13.86,46,5,1,13.99,1,3,3,0.29,8.846808510638297,0.8699999999999999,0,0,False,True,False,False,False,False
33,0,0,0.14,37,2,3,8.99,1,4,5,0.0,0.1105263157894737,0.0,0,0,False,False,False,False,False,True
26,2,1,19.48,35,4,1,17.99,0,4,5,0.54,16.233333333333334,2.7,1,0,False,False,False,True,False,False
